BID,Naam,Date,Clock in,Clock out
55807816-f3e2-42ce-8fff-4d1a5c251f02,Anna van Spreeuwel,2021-01-01,17:00,21:30
388082ab-4b54-45e9-9c8a-487ffbc57c3b,Zoey Steenbeek,2021-01-01,11:00,21:00
820fab34-05d1-4a05-9c2d-46fb3e9932f3,Hamza Kleijse,2021-01-01,11:00,21:00
fa2f67df-f5dc-430f-813b-77f33fcaf867,Ninthe le Gulcher,2021-01-01,7:30,13:00
bdd8f9e6-9f6f-44ce-ad98-c961d03c9817,Jordy Olthof,2021-01-01,12:00,17:00
449582c9-0a1f-45f2-afdb-5ea08b4aa596,Féline de Vroege,2021-01-01,9:00,20:00
ec9a276c-2bf1-4699-b60d-1338cdb0af71,Lorenzo van Ghoerle,2021-01-01,12:00,17:00
8f28f3cf-926c-4999-a6af-97787f7aaf77,Liz Kas,2021-01-01,7:30,12:00
11641395-bb9e-449a-afcf-92a65fac0442,Fenne van Hemert,2021-01-01,12:00,17:00
19b9aff4-431a-4b93-9a53-9ae5f1d2340e,Féline Coret,2021-01-01,7:30,13:00
08154905-98b4-4cf2-8b56-8199cd591c8c,Mats van Berkum,2021-01-01,17:00,21:30
d22fa914-2550-460e-af5a-ae227d09543c,Lynn Jorrisen,2021-01-01,17:00,21:30
eb0aa6d4-8a7b-4eea-a208-e73450ab05d6,Jens van den Nyeuwenhuysen,2021-01-01,17:00,21:30
794adf6e-aac6-495b-a1a5-47bf4f4bae98,David van der Plas,2021-01-01,12:00,17:00
d3f8543a-017c-42e7-a51a-20c0c95993f5,Kiki Lorreijn,2021-01-01,12:00,17:00
e4a128d8-5464-4cf3-9dad-ef0a445f9a54,Brent Martel,2021-01-01,12:00,17:00
ee670f0a-adc9-40b4-a647-c1c80d703b74,Hannah van Gelder,2021-01-01,17:00,21:30
ce848deb-71d4-4426-b8bc-00048efc6c3a,Aya Rotteveel,2021-01-01,11:00,21:00
7495385d-56a5-46d4-bb83-78fc70827010,Silke van de Darnau,2021-01-01,9:00,20:00
1f38f8df-c647-4676-a433-105e53a81ca1,Megan Ulrich,2021-01-01,11:00,21:00
5163829c-2a03-410c-8665-8e317ddc8426,Jayden van Geenen,2021-01-01,12:00,17:00
066fcacd-684a-4954-87e6-3b0e2becd77a,Valentijn Verhagen,2021-01-01,17:00,21:30
a9271c7e-c492-4272-865c-5d04a0c660e3,Tycho Dijkman,2021-01-01,9:00,20:00
34bc660b-a41d-4878-85d1-9c820bbeec89,Isa Sestig,2021-01-01,7:30,13:00
8396e10d-46e5-4fd4-a377-cccc939dd238,Simon Die Bont,2021-01-01,12:00,17:00
522738f7-4fa9-41db-b3a4-ecc57195c6cf,Daniel Tillmanno,2021-01-01,12:00,17:00
336479d1-3e6b-4436-9346-eff4d76c001e,Isis Hoeks,2021-01-01,7:30,12:00
4273d227-2d86-49b2-a6cc-ee0c21e3ea51,Sem Scholten,2021-01-01,7:30,12:00
b11ce870-9eab-41c1-8376-b6f312e4aa51,Jolie Woudenberg,2021-01-01,9:00,20:00
b20e7857-104b-4178-bcd0-84e8d9d6fa37,Kian Bruijne van der Veen,2021-01-01,7:30,13:00
4f16374e-e8cf-4483-8b38-9bfe131e551c,Hailey Frankhuizen,2021-01-01,17:00,21:30
ff0c0716-d867-4756-afac-b9c22a7b285d,Rafael Billung,2021-01-01,7:30,13:00
267c5b88-1fd7-4193-bfa8-95ecd1e053d2,Kate Meis,2021-01-01,17:00,21:30
69b58bc3-64e0-4dfd-a2d2-e9a41fa12d9c,Eliza Hermans,2021-01-01,7:30,13:00
03dbd45a-700f-4c34-ae4c-dd53fc88badc,Rafael Oversteeg,2021-01-01,12:00,17:00
aec98abb-c192-47c5-9ca7-4dd86768406e,Daan van Laon,2021-01-01,12:00,17:00
9cfdbe6a-2efc-4d92-a7e7-952a1b5f2f32,Jari de Bock,2021-01-01,17:00,21:30
bb8f694a-4fcd-4945-a742-1bc270b10139,Loek Ouwel,2021-01-01,17:00,21:30
01366d75-609d-41e7-b708-15089149b8c3,Niels Overeem,2021-01-01,7:30,13:00
befdb176-0a64-42f5-8da1-2275904a4c96,Noa Vaessen,2021-01-01,12:00,17:00
53480dc9-f2d9-47e5-b33a-4e36683aa92a,Ninthe Jurrijens,2021-01-01,7:30,13:00
